Table 13,,,,,,,,,,,,,
CALIFORNIA,, ,,,,,,,,,,,
Hate Crime Incidents,,,,,,,,,,,,,
"per Bias Motivation and Quarter
",,,,,,,,,,,,,
"by Agency, 2013",,,,,,,,,,,,,
Agency type,Agency name,Number of incidents per bias motivation,,,,,,,Number of incidents per quarter1,,,,Population2
,,Race,Religion,"Sexual
orientation",Ethnicity,Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",
,Manteca,1,1,1,0,0,0,0,1,1,0,1,"72,261"
,Milpitas,1,0,0,0,0,0,0,1,0,0,0,"69,522"
,Modesto,0,1,1,1,0,0,0,2,0,1,0,"204,252"
,Montclair,2,0,0,0,0,0,0,1,0,1,0,"37,785"
,Monterey,1,0,1,0,0,0,0,0,0,1,1,"29,338"
,Moreno Valley,1,0,0,0,0,0,0,0,0,0,1,"201,284"
,Morgan Hill,0,1,0,0,0,0,0,0,0,0,1,"39,907"
,Murrieta3,3,1,1,0,0,0,0,2,2,1,0,"107,768"
,National City,2,0,1,0,0,0,0,1,0,1,1,"59,637"
,Newark,2,0,0,1,0,0,0,1,1,0,1,"43,950"
,Newport Beach,0,2,1,0,0,0,0,0,0,2,1,"87,639"
,Norwalk,4,1,0,0,0,0,0,0,4,0,1,"106,518"
,Oakland,4,1,4,2,0,0,0,2,4,3,2,"403,887"
,Oceanside,5,1,1,1,0,0,0,2,4,2,0,"172,525"
,Ontario,1,0,0,0,0,0,0,0,1,0,0,"168,144"
,Orange,1,1,1,0,0,0,0,0,1,2,0,"140,304"
,Oroville,1,0,1,0,0,0,0,0,0,1,1,"15,581"
,Oxnard,0,0,1,0,0,0,0,0,0,0,1,"202,594"
,Pacifica,0,1,0,0,0,0,0,0,0,1,0,"38,494"
,Pacific Grove,0,1,0,0,0,0,0,1,0,0,0,"15,518"
,Palmdale,4,1,3,0,0,0,0,3,1,3,1,"156,522"
,Palm Springs,3,1,4,0,0,0,0,4,1,2,1,"46,282"
,Palo Alto,0,0,0,1,0,0,0,1,0,0,0,"66,964"
